Porta | A épület | Földszint | A főbejáraton belépve fordulj balra és ott találod.
Büfé | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, balra találod meg.
1-es terem | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, balra találod meg.
2-es terem | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, balra találod meg.
3-as terem | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, balra találod meg.
Testnevelői tanári | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, balra találod meg.
1. Testnevelői öltöző | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, jobbra találod meg.
2. Testnevelői öltöző | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, jobbra találod meg.
Tornaterem | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, jobbra találod meg.
Edzőterem | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, jobbra menj be a tornaterembe, majd bent, jobbra találod meg.
Szertár | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, jobbra menj be a tornaterembe, majd bent, balra találod meg.
Történelem szertár | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, balra találod meg.
Gyakorlati oktatásvezető irodája | A épület | Földszint | A főbejáraton belépve fordulj balra, majd menj egyenesen, balra találod meg.
Tanári | A épület | 1. emelet | A főlépcsőtől menj egyenesen, majd bal oldalt találod meg, a folyosó végén.
Tanári WC | A épület | 1. emelet | A főlépcsőtől menj egyenesen, majd jobb oldalt találod meg, a folyosó végén.
Tanulmányi igazgatóhelyettes | A épület | 1. emelet | A főlépcsőtől menj egyenesen, majd bal oldalt találod meg, a folyosó legvégén.  
Titkárság | A épület | 1. emelet | A főlépcsőtől menj egyenesen, majd bal oldalt találod meg, a folyosó végén.
Igazgatói iroda | A épület | 1. emelet | A főlépcsőtől menj egyenesen, majd bal oldalt találod meg, a folyosó vége felé.
Szakmai igazgatóhelyettesi iroda | A épület | 1. emelet | A főlépcsőtől menj egyenesen, majd bal oldalt találod meg, a folyosó vége felé. 
Pénztár | A épület | 1. emelet |  A főlépcsőtől menj egyenesen, majd bal oldalt találod meg, a folyosó közepe felé.
Gazdasági iroda | A épület | 1. emelet | A főlépcsőtől menj egyenesen, majd bal oldalt találod meg, a folyosó közepe felé.
Nevelési igazgatóhelyettesi iroda | A épület | 1. emelet | A főlépcsőtől menj egyenesen, majd bal oldalt találod meg, a folyosó közepe felé.
Lelkipásztor szoba | A épület | 1. emelet | A főlépcsőtől menj egyenesen, majd bal oldalt találod meg, a folyosó eleje felé.
Angol szertár | A épület | 1. emelet | A főlépcsőtől menj egyenesen, majd bal oldalt találod meg, a folyosó elején.
5-ös terem | A épület | 1. emelet |  A főlépcsőtől menj egyenesen, majd bal oldalt találod meg, a folyosó legelején.
